Q00ID,QMIQ02[QMI01],QMIQ02[QMI02],QMIQ02[QMI03],QMIQ02[QMI04],QMIQ02[QMI05],QMIQ03[QMI06],QMIQ03[QMI07],QMIQ03[QMI08],QMIQ03[QMI09],QMIQ03[QMI10],QMIQ04[QMI11],QMIQ04[QMI12],QMIQ04[QMI13],QMIQ04[QMI14],QMIQ04[QMI15],QMIQ05[QMI16],QMIQ05[QMI17],QMIQ05[QMI18],QMIQ05[QMI19],QMIQ05[QMI20],QMIQ06[QMI21],QMIQ06[QMI22],QMIQ06[QMI23],QMIQ06[QMI24],QMIQ06[QMI25],QMIQ07[QMI26],QMIQ07[QMI27],QMIQ07[QMI28],QMIQ07[QMI29],QMIQ07[QMI30],QMIQ08[QMI31],QMIQ08[QMI32],QMIQ08[QMI33],QMIQ08[QMI34],QMIQ08[QMI35],INVOL02,INVOL01,Q00LANG,Q00AGE,Q00SEX,Q00VISION,Q00Aphant,Q00Aphant2,Q00CHANGE,Q01EXP,Q02EXP,Q03EXP,Q04EXP
S001,6,3,4,7,5,4,3,7,6,6,5,6,6,5,3,2,3,6,6,4,5,3,2,2,6,6,4,5,6,5,1,3,4,4,5,5,6,AO01,19,AO01,AO02,N,N,N,5,6,Y,N
S002,7,5,4,3,7,7,7,7,7,7,5,5,5,7,5,7,5,6,7,6,6,7,7,7,6,3,3,3,4,3,5,5,6,6,6,7,7,AO02,44,AO01,AO01,N,N,N,3,4,Y,Y
S003,6,4,4,5,5,6,5,3,3,4,6,6,4,5,5,6,5,6,4,3,5,5,7,7,7,6,2,3,2,4,7,5,2,6,6,3,3,AO02,18,AO01,AO01,N,N,N,1,5,Y,Y
S004,5,6,6,4,5,6,6,5,4,6,3,4,5,6,6,5,3,5,5,6,7,7,5,5,6,6,5,6,6,3,6,7,6,7,6,6,5,AO02,22,AO01,AO02,N,N,N,4,6,Y,Y
S005,6,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,6,6,5,3,7,7,7,7,7,7,6,AO01,19,AO01,AO02,N,N,N,6,6,Y,N
S006,2,1,4,1,5,3,3,1,1,3,2,1,1,1,2,4,2,3,2,1,3,1,3,1,2,3,1,4,3,1,3,3,1,3,3,3,4,AO01,18,AO01,AO02,N,N,Y,1,4,Y,Y
S007,7,6,6,6,7,5,6,6,4,5,6,6,7,7,7,7,6,7,7,6,5,6,7,6,7,5,6,4,5,6,7,7,6,7,7,6,6,AO01,19,AO01,AO02,N,N,Y,4,7,Y,N
S009,5,5,5,5,5,5,5,4,4,3,4,5,5,4,5,5,5,4,5,4,3,3,4,3,4,4,4,3,4,5,7,6,5,6,4,6,6,AO01,20,AO01,AO02,Y,M,N,6,5,Y,N
S010,7,7,7,7,5,2,2,5,1,3,4,1,3,2,1,6,4,7,6,6,2,2,4,2,4,3,1,5,4,5,7,3,7,7,4,6,1,AO01,20,AO01,AO01,N,N,N,5,6,Y,N
S012,7,7,7,7,3,5,5,7,6,6,7,7,7,7,6,6,7,7,7,7,5,5,5,5,5,3,3,5,6,4,7,7,7,7,7,4,6,AO01,20,AO02,AO02,N,N,N,5,6,Y,N
S014,7,7,5,7,6,6,7,7,5,7,5,6,4,5,6,6,4,6,6,7,7,7,5,4,6,5,6,7,6,5,7,7,6,6,5,5,3,AO02,21,AO01,AO02,N,N,Y,5,6,Y,N
S015,3,6,4,7,5,6,2,3,1,5,5,4,6,3,3,6,5,2,3,2,1,2,1,1,1,1,1,2,1,1,4,6,1,6,5,5,4,AO01,19,AO01,AO01,N,M,N,2,5,Y,N
S016,5,5,5,5,5,4,5,6,4,5,5,5,6,4,5,6,5,5,4,3,6,7,5,5,5,5,5,5,5,5,4,6,3,6,4,6,7,AO02,42,AO01,AO01,N,N,N,4,7,Y,N
S018,7,6,7,7,7,6,4,5,4,3,4,4,4,5,6,7,7,7,7,7,5,4,4,5,4,5,3,3,6,1,7,7,7,7,7,7,7,AO01,20,AO02,AO01,Y,N,N,6,7,Y,Y
S019,6,6,6,6,5,7,6,2,2,6,6,6,5,6,6,6,5,6,6,7,7,6,5,5,7,6,2,6,7,6,6,7,6,6,6,6,5,AO02,23,AO02,AO01,N,N,Y,2,6,Y,N
S020,3,4,3,4,4,5,5,5,4,5,4,4,4,4,4,5,4,3,4,5,5,3,4,5,6,5,4,3,4,4,4,5,5,5,5,4,4,AO01,23,AO01,AO02,N,N,N,2,6,,Y
S022,3,5,7,6,5,3,4,6,5,4,6,6,6,6,6,5,4,6,6,6,3,4,4,4,5,5,6,6,4,4,7,7,5,7,6,4,5,AO01,21,AO01,AO01,Y,N,N,6,7,Y,N
S023,6,7,5,7,7,1,3,4,1,6,5,6,7,6,2,6,5,6,7,6,5,6,4,1,7,7,6,2,5,5,6,6,6,5,6,3,5,AO01,20,AO01,AO01,N,N,N,1,5,Y,N
S024,5,4,1,5,3,6,6,6,6,6,3,4,5,5,5,6,6,6,6,6,3,1,2,3,3,4,3,1,3,4,5,5,5,5,6,6,3,AO01,19,AO01,AO01,N,N,N,3,7,Y,N
S025,7,6,6,7,7,4,5,5,4,6,6,5,7,6,5,1,4,5,4,4,5,4,3,3,7,3,4,5,6,3,6,5,7,7,6,7,7,AO01,21,AO01,AO01,N,N,N,6,5,Y,N
S026,5,6,5,7,6,6,6,6,4,5,5,6,6,4,5,6,5,6,6,5,6,5,4,5,6,5,3,6,3,1,4,6,5,6,5,7,6,AO01,18,AO01,AO01,N,N,N,3,5,Y,N
S027,5,4,4,5,4,3,3,5,2,6,5,6,6,7,7,6,7,7,7,6,6,6,6,6,6,4,4,4,5,3,5,5,6,5,5,4,4,AO01,19,AO01,AO02,Y,N,N,5,6,Y,N
S028,6,6,7,7,6,6,7,7,7,7,5,7,7,7,7,6,6,6,6,6,7,4,6,6,7,7,7,7,7,5,7,7,6,7,6,3,5,AO01,19,AO01,AO02,Y,Y,N,7,7,Y,Y
S029,6,7,6,7,5,5,6,6,5,4,5,5,6,4,6,5,5,3,4,3,5,6,3,3,6,5,4,6,6,5,6,5,5,6,4,7,5,AO01,19,AO01,AO02,N,N,N,4,5,Y,N
S030,5,6,6,5,5,4,5,6,6,7,6,6,6,7,7,5,5,1,4,5,7,5,7,5,6,6,6,7,7,7,6,7,7,7,7,3,3,AO02,27,AO01,AO02,N,N,N,6,6,Y,Y
S031,7,7,7,5,7,5,7,7,4,7,7,7,3,7,7,7,2,3,7,7,7,7,7,7,7,7,3,3,7,7,7,7,7,7,7,6,5,AO01,25,AO01,AO01,N,N,N,5,5,Y,N
S032,6,6,3,7,7,6,6,5,3,3,5,6,3,7,6,6,3,6,7,4,7,7,6,5,7,7,4,2,2,4,7,7,6,7,7,7,5,AO01,18,AO01,AO02,N,N,N,6,5,Y,Y
S033,7,7,6,7,6,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,AO02,33,AO01,AO01,N,N,N,6,7,Y,N
N001,6,6,5,6,5,4,4,4,3,4,5,6,5,5,5,7,5,7,6,7,5,6,6,7,7,7,6,6,7,2,7,7,6,6,7,7,6,AO01,18,AO01,AO01,N,N,N,3,6,Y,N
N002,5,4,5,6,6,3,5,6,3,6,3,7,4,6,4,6,4,7,6,4,4,5,6,6,7,4,3,4,5,3,7,6,5,6,3,6,5,AO01,21,AO01,AO02,N,N,Y,2,7,Y,N
N003,6,4,5,7,5,3,6,7,6,5,5,6,5,5,5,6,5,4,3,3,4,5,3,3,6,4,3,4,5,5,6,6,4,6,4,0,5,AO01,19,AO01,AO01,Y,N,N,4,6,Y,N
N004,5,6,5,6,6,6,5,6,4,4,6,6,6,6,5,6,6,5,6,6,5,6,5,4,5,5,4,5,5,4,5,6,6,5,6,5,5,AO01,23,AO02,AO01,N,N,N,5,7,Y,Y
N005,5,7,6,5,7,7,7,5,3,6,6,6,7,6,7,7,6,6,7,6,6,5,6,5,6,6,6,4,4,4,5,6,3,5,5,3,2,AO01,21,AO01,AO01,N,N,N,1,6,Y,N
N006,6,3,3,5,3,6,7,7,3,7,4,5,6,3,7,6,6,7,7,6,3,5,5,4,5,3,5,3,4,7,3,7,4,6,5,3,5,AO01,26,AO01,AO01,N,M,N,3,5,Y,N
N007,5,4,6,6,3,4,6,5,6,7,6,4,6,6,5,4,5,5,6,5,4,6,3,4,5,3,3,4,6,4,6,6,6,5,4,2,6,AO01,34,AO02,AO01,N,N,N,3,6,Y,N
N008,6,5,5,6,5,7,4,6,3,7,4,4,5,6,6,6,4,6,6,4,5,5,6,3,6,4,4,5,6,6,4,5,4,4,5,4,5,AO01,20,AO01,AO01,N,N,N,4,6,Y,N
N010,6,5,6,6,6,7,6,5,3,7,7,7,6,5,5,6,6,7,7,7,5,5,4,6,7,6,4,4,5,5,7,7,6,7,7,3,4,AO01,22,AO02,AO02,N,N,N,3,6,Y,Y
N011,3,6,5,5,5,5,5,5,3,6,5,6,6,4,5,5,2,3,5,4,2,2,2,2,2,3,3,4,5,1,5,3,5,4,4,6,5,AO01,19,AO01,AO02,N,N,N,7,5,Y,N
N012,7,7,5,5,6,6,6,6,6,7,6,6,6,6,6,5,4,5,5,5,6,6,6,6,5,6,5,5,6,6,5,5,6,5,5,6,6,AO01,19,AO02,AO01,N,N,N,2,6,Y,N
N013,7,6,5,7,6,6,5,7,5,6,4,6,7,4,4,6,5,7,7,6,3,3,2,1,5,6,3,4,4,3,5,5,5,6,5,0,4,AO01,21,AO01,AO01,N,N,N,8,5,Y,N
N014,6,6,3,7,5,5,6,7,5,6,4,5,6,6,5,6,4,6,6,5,4,5,5,5,5,3,3,3,5,5,5,5,4,6,6,6,5,AO01,19,AO01,AO01,N,Y,N,6,5,Y,N
N015,6,6,6,6,5,4,4,4,3,6,6,6,6,6,6,7,6,6,6,6,7,7,5,5,6,3,4,6,3,1,5,6,4,6,5,6,5,AO01,19,AO01,AO01,N,N,N,4,6,Y,N
N016,5,4,5,6,6,6,6,6,4,6,4,5,4,5,6,6,6,7,6,7,5,5,4,4,5,4,4,5,5,4,7,5,5,7,5,4,6,AO01,19,AO01,AO02,Y,N,N,3,5,Y,N
N017,2,5,1,5,6,6,6,4,6,6,3,4,4,7,7,3,3,6,7,5,5,5,5,4,3,2,1,5,6,3,2,5,4,2,4,3,2,AO01,23,AO01,AO02,N,N,N,5,5,Y,N
N018,4,2,1,1,4,5,6,7,4,6,3,3,2,5,2,5,2,3,2,4,4,5,2,2,3,3,2,2,4,5,6,6,5,6,5,2,4,AO01,21,AO01,AO02,N,N,N,2,7,Y,Y
N019,5,6,7,4,5,6,5,5,4,7,6,7,6,7,5,6,6,7,7,6,6,6,7,5,6,7,5,7,6,7,6,7,5,7,7,6,6,AO01,20,AO01,AO01,N,N,N,6,7,Y,N
N020,5,6,3,7,4,2,4,7,1,5,2,6,6,6,1,5,4,5,6,2,4,5,6,6,4,3,4,5,1,1,7,7,3,7,5,7,5,AO01,20,AO01,AO02,N,Y,Y,3,7,Y,Y
N021,4,4,5,6,5,5,4,4,4,7,6,6,6,7,7,7,7,7,7,7,6,7,7,7,7,7,6,5,6,6,7,5,7,7,6,5,5,AO01,20,AO01,AO01,Y,N,N,7,7,Y,Y
N022,6,5,5,5,3,5,6,6,4,6,6,3,5,4,3,5,3,5,5,6,6,6,4,4,6,5,3,3,5,2,5,6,5,5,5,3,5,AO01,19,AO01,AO02,Y,N,N,6,4,Y,N
N023,4,5,3,1,6,4,5,2,3,4,6,5,5,3,1,5,5,6,5,4,1,6,4,4,3,4,3,1,5,1,7,7,7,5,7,3,6,AO01,19,AO01,AO02,N,N,N,1,3,Y,N
N024,3,6,5,3,6,2,2,4,6,7,6,2,5,7,5,7,3,6,5,2,1,1,6,6,6,2,1,2,3,2,6,6,6,6,5,5,5,AO01,21,AO01,AO02,N,N,N,3,6,Y,N
N025,6,5,6,6,5,3,6,7,7,7,7,6,7,5,7,5,6,4,6,3,5,6,4,6,7,5,4,6,2,3,7,6,5,7,6,7,1,AO01,33,AO02,AO01,N,N,N,8,6,Y,Y
N026,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,6,7,7,4,5,6,7,7,5,6,6,6,6,7,6,AO01,19,AO01,AO01,Y,N,N,6,7,Y,N
